model_id;(Intercept);count_TRUE;counting_method;counting_time_1m;counting_time_cells;exp_bota;habitat_closure;quadrat_order;quadrat_order_squared;species_conspicuousness;count_TRUE:counting_method;counting_method:exp_bota;counting_method:habitat_closure;counting_method:quadrat_order;counting_method:quadrat_order_squared;counting_method:species_conspicuousness;counting_time_1m:habitat_closure;counting_time_1m:species_conspicuousness;counting_time_cells:habitat_closure;counting_time_cells:species_conspicuousness;habitat_closure:species_conspicuousness;df;logLik;AICc;delta;weight
957823;-0,708125919;-0,0045889;+;0,178152321;0,078351246;0,04518746;-0,502887713;0,004480299;NA;0,216698155;NA;+;+;+;NA;NA;-0,016835179;NA;-0,040415861;0,008899797;0,141060714;23;-14354,11223;28754,4815;20,27701932;1.06645724757864e-05
1011135;-0,625194575;-0,004603052;+;0,183279705;0,076418669;0,044106047;-0,482435536;NA;0,000431612;0,182304724;NA;+;+;NA;+;+;NA;-0,001076877;-0,040214628;0,009781853;0,141081297;25;-14352,15173;28754,60629;20,40180831;1.00194957768675e-05
745343;-0,573188618;-0,004837902;+;0,190142513;0,091635507;0,043286001;-0,476909479;0,004343474;NA;0,166627916;+;+;+;+;NA;+;NA;-0,006737287;-0,035373342;NA;0,141829002;26;-14351,15365;28754,63442;20,42994044;9.87954743794254e-06
679935;-0,564567327;-0,004838729;+;0,178733037;0,091593981;0,043437183;-0,477300849;-0,001816883;0,000560501;0,168219934;+;+;+;+;NA;+;NA;NA;-0,035253775;NA;0,141695887;26;-14351,20631;28754,73974;20,53526215;9.37274351713233e-06
957951;-0,695885774;-0,004590002;+;0,178244607;0,078346263;0,045295123;-0,502851339;-0,001807868;0,000572299;0,216797406;NA;+;+;+;NA;NA;-0,016814332;NA;-0,040399313;0,00889688;0,141056343;24;-14353,71855;28755,71656;21,51208054;5.75113171712078e-06
958463;-0,67648384;-0,0047333;+;0,176368747;0,076136991;0,04522165;-0,502659645;-0,001383679;0,00053407;0,214811058;+;+;+;+;NA;NA;-0,017264266;NA;-0,040407454;0,009192288;0,140705761;26;-14351,74957;28755,82625;21,6217727;5.44419865379775e-06
745471;-0,561668355;-0,004840581;+;0,189934929;0,091645481;0,043359449;-0,477911737;-0,001628546;0,000543167;0,166611498;+;+;+;+;NA;+;NA;-0,006543232;-0,035363275;NA;0,142277238;27;-14350,7989;28755,95017;21,74569312;5.11711276972007e-06
786431;-0,551822005;-0,004843343;+;0,179549364;0,091752271;0,043744743;-0,478365797;-0,007690472;0,001099168;0,167844604;+;+;+;+;+;+;-0,015945915;0,000736621;-0,035748608;NA;0,141410928;30;-14347,80154;28756,03685;21,83237025;4.90008133064563e-06
688127;-0,550103618;-0,004841259;+;0,179137666;0,091716245;0,043443199;-0,47806708;-0,008111894;0,001133689;0,167312557;+;+;+;+;+;+;NA;NA;-0,035274549;NA;0,142023373;28;-14350,0685;28756,51555;22,31107456;3.85703843635386e-06
995327;-0,675753249;-0,004783819;+;0,147842267;0,072944052;0,044237944;-0,493006101;0,015456046;-0,000898538;0,200162329;+;+;+;NA;+;NA;NA;0,016562194;-0,040316345;0,010810407;0,140724923;26;-14352,12677;28756,58066;22,37618412;3.73349527666518e-06
712063;-0,62553415;-0,004582435;+;0,183568497;0,093782087;0,043892427;-0,481488685;0,004370714;NA;0,177708091;NA;+;+;+;NA;+;-0,015118768;NA;-0,035924373;NA;0,141534938;24;-14354,5527;28757,38487;23,18039081;2.49737834687577e-06
966143;-0,682457957;-0,004591358;+;0,178605486;0,07854583;0,045386448;-0,503721377;-0,008242688;0,001158945;0,216248448;NA;+;+;+;+;NA;-0,016938513;NA;-0,040412703;0,008875645;0,141419411;26;-14352,58721;28757,50155;23,29706947;2.35585140220969e-06
966655;-0,662817301;-0,004730085;+;0,176774723;0,076265167;0,045298787;-0,504184089;-0,007998817;0,001138044;0,214142582;+;+;+;+;+;NA;-0,017337161;NA;-0,04043197;0,009188196;0,141430269;28;-14350,57496;28757,52848;23,32400395;2.32433726731035e-06
925055;-0,709696238;-0,004583493;+;0,176369977;0,078334141;0,044913009;-0,502625802;0,004435298;NA;0,217249404;NA;+;+;+;NA;NA;NA;NA;-0,039884997;0,008848008;0,141593817;22;-14356,75508;28757,74574;23,54125852;2.08508092719986e-06
753663;-0,548303557;-0,004840838;+;0,190184301;0,091760334;0,04346374;-0,477162886;-0,008052207;0,001129009;0,166258758;+;+;+;+;+;+;NA;-0,006447929;-0,035373985;NA;0,141978981;29;-14349,67343;28757,75256;23,54807853;2.07798289335193e-06
994815;-0,700621972;-0,004606746;+;0,152552603;0,075399977;0,044264729;-0,494127694;0,01525573;-0,000881453;0,202708408;NA;+;+;NA;+;NA;NA;0,015272439;-0,040284046;0,010372269;0,141230998;24;-14354,78201;28757,84348;23,63900135;1.98563001243778e-06
925567;-0,692316378;-0,004723767;+;0,174417305;0,0761879;0,044880465;-0,503290401;0,004460043;NA;0,21630132;+;+;+;+;NA;NA;NA;NA;-0,039882349;0,009139073;0,141532694;24;-14354,86034;28758,00014;23,7956629;1.83602971618983e-06
712191;-0,60979577;-0,004585156;+;0,183644653;0,093764084;0,043958921;-0,481451683;-0,0025158;0,000626337;0,176867207;NA;+;+;+;NA;+;-0,015080502;NA;-0,035906183;NA;0,141626348;25;-14354,08565;28758,47411;24,26963398;1.44863239872484e-06
716799;-0,60282672;-0,004842231;+;0,180185256;0,091207401;0,043400291;-0,478182298;0,015854793;-0,000938167;0,168015224;+;+;+;NA;+;+;-0,015677878;NA;-0,035589497;NA;0,141411573;27;-14352,11571;28758,58378;24,37929769;1.37133961088202e-06
925183;-0,695937297;-0,004587657;+;0,176444942;0,078330888;0,045018404;-0,502334601;-0,001920316;0,000578617;0,216819999;NA;+;+;+;NA;NA;NA;NA;-0,039861006;0,00884022;0,141526515;23;-14356,35436;28758,96577;24,76129435;1.13291023265388e-06
995263;-0,642682339;-0,004783532;+;0,147623446;0,072781227;0,044428483;-0,493067532;NA;0,000435695;0,200220711;+;+;+;NA;+;NA;NA;0,016778468;-0,040237331;0,010812888;0,140764301;25;-14354,34154;28758,98591;24,78142785;1.12156272502986e-06
925695;-0,679159736;-0,00472463;+;0,174556621;0,076229639;0,044943907;-0,503191123;-0,001476424;0,000539712;0,21563524;+;+;+;+;NA;NA;NA;NA;-0,039862306;0,009123123;0,141563687;25;-14354,51455;28759,33192;25,1274465;9.43379796117089e-07
777599;-0,624771575;-0,004583314;+;0,181479586;0,093779808;0,043881308;-0,481517351;0,004362867;NA;0,177477201;NA;+;+;+;NA;+;-0,015687927;0,00123752;-0,035922219;NA;0,141504709;25;-14354,54124;28759,3853;25,18082228;9.18535967552623e-07
679295;-0,625269319;-0,004577686;+;0,182003646;0,093694195;0,043624748;-0,481195225;0,004322537;NA;0,177456466;NA;+;+;+;NA;+;NA;NA;-0,035478996;NA;0,14214848;23;-14356,67679;28759,61062;25,40614129;8.20670392453881e-07
994751;-0,667522212;-0,004606946;+;0,152223057;0,075224953;0,044596977;-0,49345354;NA;0,00043472;0,202539109;NA;+;+;NA;+;NA;NA;0,015537945;-0,04021303;0,010386458;0,141054524;23;-14356,93879;28760,13461;25,93013588;6.31516623531771e-07
720383;-0,598968832;-0,004586727;+;0,184063106;0,093934421;0,044060467;-0,482442561;-0,008048688;0,001130769;0,176604032;NA;+;+;+;+;+;-0,015218417;NA;-0,035930382;NA;0,142016582;27;-14352,92968;28760,21172;26,00724466;6.07632266503358e-07
777727;-0,610478112;-0,004586175;+;0,181144965;0,093769227;0,043999069;-0,481583054;-0,002556489;0,000629239;0,17719425;NA;+;+;+;NA;+;-0,015772388;0,001497133;-0,03590381;NA;0,141595574;26;-14354,06888;28760,46489;26,26040845;5.35385998020014e-07
