model_id;(Intercept);count_TRUE;counting_method;counting_time_1m;counting_time_cells;exp_bota;habitat_closure;quadrat_order;quadrat_order_squared;species_conspicuousness;count_TRUE:counting_method;counting_method:exp_bota;counting_method:habitat_closure;counting_method:quadrat_order;counting_method:quadrat_order_squared;counting_method:species_conspicuousness;counting_time_1m:habitat_closure;counting_time_1m:species_conspicuousness;counting_time_cells:habitat_closure;counting_time_cells:species_conspicuousness;habitat_closure:species_conspicuousness;df;logLik;AICc;delta;weight
704895;-0,901678981;-0,004510774;+;0,180105786;0,089029607;0,103173713;-0,493045552;0,022359468;NA;0,190211095;NA;NA;NA;NA;NA;+;-0,055711607;NA;-0,027359675;NA;0,139049516;18;-14594,65586;29225,4708;491,2663195;5.67435353353852e-108
705023;-0,880807728;-0,004514643;+;0,180235946;0,089002986;0,103197522;-0,492799491;0,012908979;0,000853125;0,189603211;NA;NA;NA;NA;NA;+;-0,055716659;NA;-0,027353907;NA;0,139009557;19;-14593,78496;29225,7467;491,542221;4.94316548837278e-108
704959;-0,852532798;-0,004516633;+;0,18033342;0,088868968;0,103231192;-0,493483887;NA;0,001958658;0,189609702;NA;NA;NA;NA;NA;+;-0,055632158;NA;-0,027312054;NA;0,139248162;18;-14595,33915;29226,83738;492,6328985;2.86528308332706e-108
967039;-0,900230339;-0,004511602;+;0,180039209;0,088481583;0,103135261;-0,492665887;0,022356609;NA;0,189721657;NA;NA;NA;NA;NA;+;-0,05581859;NA;-0,027428239;0,000306795;0,138994367;19;-14594,64289;29227,46256;493,2580773;2.09609850698324e-108
967167;-0,880691859;-0,004515771;+;0,180176867;0,088465712;0,103182685;-0,492653731;0,012925091;0,000851487;0,189585892;NA;NA;NA;NA;NA;+;-0,055811834;NA;-0,027421963;0,000301641;0,139029697;20;-14593,7718;29227,73903;493,5345559;1.82547173305719e-108
967103;-0,852709188;-0,004517256;+;0,180259441;0,088301523;0,103209366;-0,492738128;NA;0,001958403;0,189628247;NA;NA;NA;NA;NA;+;-0,055720098;NA;-0,027380585;0,000314891;0,13906764;19;-14595,32539;29228,82756;494,6230774;1.0592675905241e-108
1016703;-0,867701866;-0,004765763;+;0,14199111;0,067350643;0,102707475;-0,476499155;0,021956427;NA;0,191047041;+;NA;NA;NA;NA;NA;-0,064286288;0,02097966;-0,028360949;0,010988593;0,135591736;20;-14601,04855;29242,29253;508,0880532;1.26218593426128e-111
1016831;-0,844698695;-0,004769036;+;0,141964969;0,067337765;0,102817567;-0,475691772;0,012181152;0,000882519;0,189752279;+;NA;NA;NA;NA;NA;-0,064344986;0,02111771;-0,028366253;0,010996057;0,13537138;21;-14600,12777;29242,47057;508,2660955;1.15468079017066e-111
1016767;-0,817387621;-0,00476935;+;0,141771781;0,067190043;0,10267747;-0,477545581;NA;0,001925359;0,18925573;+;NA;NA;NA;NA;NA;-0,064385748;0,021324112;-0,028343445;0,011008627;0,136121808;20;-14601,52369;29243,24282;509,0383424;7.84821074903986e-112
810879;-0,567044679;-0,004672933;+;0,164738077;0,113315012;0,042663056;-0,445286728;0,004442023;NA;0,156321823;+;+;+;+;NA;+;NA;NA;NA;-0,023016519;0,138444594;25;-14596,85164;29244,00609;509,8016139;5.35831657931401e-112
811007;-0,549822297;-0,004674437;+;0,164930187;0,1133127;0,04282845;-0,446279252;-0,004242159;0,000788974;0,156251628;+;+;+;+;NA;+;NA;NA;NA;-0,023012563;0,13878287;26;-14596,103;29244,53313;510,3286469;4.11703533439153e-112
843647;-0,567455655;-0,00467046;+;0,164152002;0,113151416;0,042515075;-0,446286149;0,004404219;NA;0,156478718;+;+;+;+;NA;+;0,007015726;NA;NA;-0,022875623;0,139151992;26;-14596,38705;29245,10122;510,896745;3.09901484163072e-112
909183;-0,562971562;-0,004669931;+;0,18155368;0,113712855;0,042458001;-0,445136588;0,004384205;NA;0,154074856;+;+;+;+;NA;+;0,011727182;-0,010404481;NA;-0,023138349;0,139352422;27;-14595,58094;29245,51425;511,3097748;2.52078252317797e-112
876415;-0,565289235;-0,004674772;+;0,173396801;0,113624758;0,04263147;-0,445839111;0,004436615;NA;0,155443777;+;+;+;+;NA;+;NA;-0,005050803;NA;-0,023180049;0,138801131;26;-14596,61295;29245,55301;511,3485362;2.47239843394743e-112
843775;-0,550112658;-0,004672854;+;0,164309717;0,113152762;0,04273279;-0,446038932;-0,004251535;0,000787838;0,156188702;+;+;+;+;NA;+;0,007029969;NA;NA;-0,02287355;0,139023714;27;-14595,63569;29245,62374;511,4192657;2.38649059460267e-112
1016319;-0,876466404;-0,004552074;+;0,149664378;0,068817407;0,102892661;-0,478324901;0,011956848;0,000922373;0,192816716;NA;NA;NA;NA;NA;NA;-0,06425894;0,018821608;-0,028406347;0,010607219;0,136131345;19;-14603,82642;29245,82963;511,6251523;2.15303966341304e-112
1016191;-0,900032343;-0,004546012;+;0,149772062;0,068863918;0,102895713;-0,477797416;0,02217115;NA;0,194043456;NA;NA;NA;NA;NA;NA;-0,064174051;0,01864371;-0,028398531;0,010591658;0,135829293;18;-14604,84781;29245,85469;511,6502068;2.1262362161394e-112
876543;-0,551534789;-0,004671441;+;0,173081482;0,11358779;0,042715211;-0,446856635;-0,004061357;0,000773966;0,156476339;+;+;+;+;NA;+;NA;-0,004756693;NA;-0,023158452;0,139205118;27;-14595,89035;29246,13306;511,9285844;1.84996106604625e-112
909311;-0,546665994;-0,004667787;+;0,181087434;0,113732411;0,042572486;-0,444861793;-0,003980297;0,000762187;0,154062109;+;+;+;+;NA;+;0,01155414;-0,010005279;NA;-0,023140819;0,139249704;28;-14594,88167;29246,14189;511,937414;1.84181184721325e-112
1016255;-0,850454135;-0,004552541;+;0,149457432;0,068679826;0,102957513;-0,478528058;NA;0,001946186;0,192961098;NA;NA;NA;NA;NA;NA;-0,064275551;0,019012727;-0,028377453;0,010613309;0,136133236;18;-14605,15549;29246,47004;512,2655637;1.56310607118882e-112
819199;-0,542627875;-0,004673541;+;0,165317216;0,113430413;0,042749163;-0,446455791;-0,007448826;0,001081978;0,155684499;+;+;+;+;+;+;NA;NA;NA;-0,023012505;0,138931128;28;-14595,31088;29247,00032;512,7958436;1.1990564625401e-112
815103;-0,581732825;-0,004673766;+;0,164984005;0,112980806;0,042467282;-0,446228783;0,010795761;-0,000496066;0,155861884;+;+;+;NA;+;+;NA;NA;NA;-0,022961349;0,138922879;26;-14597,59229;29247,5117;513,3072213;9.2852880909402e-113
815039;-0,559172528;-0,004673946;+;0,165108254;0,112830828;0,042772096;-0,446236115;NA;0,000435338;0,155909517;+;+;+;NA;+;+;NA;NA;NA;-0,022934557;0,138866218;25;-14598,69568;29247,69418;513,4897041;8.47558645927162e-113
851967;-0,540529367;-0,004673592;+;0,164735364;0,113273746;0,042677615;-0,445316193;-0,00762238;0,001097046;0,15530048;+;+;+;+;+;+;0,006959628;NA;NA;-0,022879491;0,138897326;29;-14594,85791;29248,12151;513,9170309;6.84505439902137e-113
884735;-0,544206844;-0,004673546;+;0,173298819;0,113739914;0,042865959;-0,447493361;-0,007349693;0,001073974;0,155848459;+;+;+;+;+;+;NA;-0,004670393;NA;-0,023184704;0,139436497;29;-14595,10843;29248,62255;514,4180698;5.32816545001594e-113
847871;-0,582980968;-0,004671958;+;0,164366339;0,112830986;0,042366588;-0,445736708;0,010837936;-0,000502519;0,156434279;+;+;+;NA;+;+;0,006764255;NA;NA;-0,022830728;0,138842767;27;-14597,16046;29248,67329;514,4688108;5.19468763407007e-113
917503;-0,539773228;-0,004672597;+;0,1812109;0,113806777;0,042738681;-0,444655715;-0,007672852;0,001100246;0,15418331;+;+;+;+;+;+;0,011431965;-0,009898352;NA;-0,023125462;0,139138795;30;-14594,13326;29248,70028;514,4958062;5.12504217551339e-113
847807;-0,560684889;-0,00467198;+;0,164497656;0,112685643;0,042563941;-0,446063984;NA;0,000434918;0,156595398;+;+;+;NA;+;+;0,006843438;NA;NA;-0,022808031;0,138984642;26;-14598,2504;29248,82792;514,6234396;4.80819663178783e-113
880639;-0,579694873;-0,004676041;+;0,172919048;0,11332371;0,042485575;-0,443590336;0,011090664;-0,000523626;0,154782466;+;+;+;NA;+;+;NA;-0,004636905;NA;-0,023139152;0,138130146;27;-14597,39303;29249,13842;514,9339464;4.11676913898451e-113
913407;-0,579342796;-0,004670729;+;0,180552688;0,113410103;0,042318396;-0,445391482;0,01108499;-0,000521979;0,154049972;+;+;+;NA;+;+;0,011141539;-0,009679442;NA;-0,023097367;0,139449229;28;-14596,45731;29249,29318;515,0887028;3.81023347154142e-113
880575;-0,554842217;-0,004670175;+;0,172408117;0,113114821;0,042714942;-0,444343216;NA;0,000433952;0,154100945;+;+;+;NA;+;+;NA;-0,00428199;NA;-0,023078481;0,138535038;26;-14598,52715;29249,38142;515,1769377;3.64578988684429e-113
913343;-0,555833574;-0,004669706;+;0,180035535;0,113223389;0,042492146;-0,445445313;NA;0,000434007;0,154069734;+;+;+;NA;+;+;0,011090691;-0,009297786;NA;-0,023053067;0,139459943;27;-14597,60439;29249,56115;515,3566687;3.33244916629186e-113
984895;-0,71325104;-0,004628311;+;0,175729468;0,067686568;0,04987514;-0,526721395;NA;NA;0,227757246;+;+;NA;NA;NA;NA;NA;-0,011300993;-0,024421636;0,007911677;0,138665199;20;-14607,34412;29254,88367;520,6791967;2.32804446346096e-114
969535;-0,732908926;-0,004788657;+;0,177309497;0,064050056;0,103168731;-0,498487444;NA;NA;0,182167463;+;NA;+;NA;NA;+;-0,01278505;NA;-0,03846204;0,011823025;0,141876815;22;-14605,99376;29256,22309;522,0186104;1.191629608375e-114
951167;-0,91463749;-0,004687127;+;0,17454523;0,071043494;0,102325869;-0,485751065;0,021905013;NA;0,209736078;+;NA;NA;NA;NA;NA;-0,053951648;NA;-0,027179566;0,008783378;0,136260517;19;-14609,39493;29256,96665;522,7621741;8.21634111624377e-115
936767;-0,732915617;-0,004785135;+;0,176033069;0,064228089;0,102770232;-0,495946897;NA;NA;0,182521135;+;NA;+;NA;NA;+;NA;NA;-0,038011477;0,011696168;0,14141618;21;-14607,51123;29257,23749;523,0330165;7.17572508074437e-115
951295;-0,898895607;-0,004684001;+;0,174769293;0,071065331;0,102437358;-0,487990344;0,012811661;0,000821652;0,210375504;+;NA;NA;NA;NA;NA;-0,053952342;NA;-0,027178754;0,008773077;0,137015919;20;-14608,58452;29257,36447;523,1599964;6.73430004674136e-115
950655;-0,939123671;-0,004515719;+;0,17774906;0,07204552;0,10259272;-0,487717831;0,0220978;NA;0,211352916;NA;NA;NA;NA;NA;NA;-0,054719131;NA;-0,027328415;0,008649826;0,136894383;17;-14611,63761;29257,41751;523,213032;6.55806804478041e-115
950783;-0,918830677;-0,004520048;+;0,177878716;0,072028112;0,10259084;-0,487692503;0,012534881;0,000863431;0,211124843;NA;NA;NA;NA;NA;NA;-0,054703728;NA;-0,027322928;0,008645637;0,136917576;18;-14610,74421;29257,6475;523,4430187;5.84567880173454e-115
1035071;-0,736593923;-0,004793594;+;0,169487597;0,063705097;0,103157625;-0,498367768;NA;NA;0,184195847;+;NA;+;NA;NA;+;-0,014890955;0,004673373;-0,038546965;0,012018373;0,141364123;23;-14605,82963;29257,9163;523,7118265;5.1105080430497e-115
951231;-0,869310652;-0,0046841;+;0,174878618;0,070915998;0,102433729;-0,48622039;NA;0,001918679;0,210042655;+;NA;NA;NA;NA;NA;-0,053883918;NA;-0,027139941;0,00877006;0,136317033;19;-14610,11137;29258,39953;524,1950469;4.01360007152922e-115
950719;-0,890619788;-0,004521491;+;0,177967985;0,071924953;0,102640239;-0,488039115;NA;0,001936936;0,210795211;NA;NA;NA;NA;NA;NA;-0,054621235;NA;-0,02728133;0,008629282;0,137040587;17;-14612,20929;29258,56087;524,3563885;3.70253529081719e-115
1002303;-0,731477014;-0,004785373;+;0,179861686;0,064419094;0,102760942;-0,496529663;NA;NA;0,181636375;+;NA;+;NA;NA;+;NA;-0,002267287;-0,037984087;0,01158905;0,141885513;22;-14607,46565;29259,16687;524,9623931;2.73468290965303e-115
919359;-0,684064565;-0,004679303;+;0,157025395;0,065653126;0,050058631;-0,524074703;NA;NA;0,216380437;+;+;NA;NA;NA;NA;NA;NA;-0,024662568;0,009084771;0,138063767;19;-14610,60717;29259,39113;525,1866472;2.44461703901143e-115
810367;-0,632067181;-0,004327143;+;0,16859823;0,116321926;0,043121549;-0,450088497;0,004412275;NA;0,168683522;NA;+;+;+;NA;+;NA;NA;NA;-0,022869057;0,138993814;23;-14607,04831;29260,35366;526,1491814;1.51077292002805e-115
1018687;-0,763177448;-0,004761686;+;0,141794357;0,065689798;0,103232446;-0,505446925;NA;NA;0,195633729;+;NA;+;NA;NA;NA;-0,022521927;0,020705136;-0,03790974;0,010776178;0,141322765;21;-14609,11366;29260,44236;526,2378781;1.44523655256058e-115
810495;-0,613763555;-0,004330801;+;0,168748904;0,116303516;0,043316042;-0,450727285;-0,00522949;0,000876241;0,169005908;NA;+;+;+;NA;+;NA;NA;NA;-0,022867683;0,139233749;24;-14606,12474;29260,52894;526,3244589;1.38400655929844e-115
843135;-0,632062702;-0,004325864;+;0,16790527;0,116110999;0,042992158;-0,450101517;0,004385813;NA;0,16868971;NA;+;+;+;NA;+;0,007759918;NA;NA;-0,02271824;0,139352117;24;-14606,47651;29261,23247;527,0279958;9.73569727664073e-116
843263;-0,6123789;-0,004329684;+;0,168047855;0,116088168;0,043131901;-0,450008333;-0,005242226;0,000875724;0,168504859;NA;+;+;+;NA;+;0,007796385;NA;NA;-0,022714472;0,139347865;25;-14605,55026;29261,40334;527,1988621;8.9384847629844e-116
908671;-0,629414095;-0,004318824;+;0,18381762;0,116586409;0,042936016;-0,449129349;0,004391423;NA;0,166902964;NA;+;+;+;NA;+;0,012024537;-0,009422913;NA;-0,022959832;0,13957056;25;-14605,80162;29261,90606;527,7015794;6.95184744058387e-116
875903;-0,631161181;-0,004323832;+;0,175404847;0,116579391;0,043072853;-0,450140658;0,004416319;NA;0,168058324;NA;+;+;+;NA;+;NA;-0,003949207;NA;-0,023009832;0,1392123;24;-14606,89644;29262,07234;527,8678633;6.39723265808356e-116
908799;-0,609789935;-0,00432505;+;0,18333463;0,116563709;0,043043094;-0,449477982;-0,00500388;0,000854205;0,166626474;NA;+;+;+;NA;+;0,011881912;-0,009055736;NA;-0,022953334;0,139736041;26;-14604,92615;29262,17942;527,9749442;6.06372962774398e-116
876031;-0,610680718;-0,004328132;+;0,175102028;0,116552775;0,043255845;-0,449582602;-0,005124357;0,000867229;0,167476413;NA;+;+;+;NA;+;NA;-0,003686703;NA;-0,023002023;0,139068089;25;-14605,99463;29262,29208;528,087602;5.7316082634686e-116
984383;-0,753862963;-0,004348491;+;0,184571665;0,070334948;0,050059879;-0,529814606;NA;NA;0,231888546;NA;+;NA;NA;NA;NA;NA;-0,013916778;-0,02456215;0,007321505;0,13952457;18;-14613,16406;29262,48719;528,2827078;5.19888011738972e-116
818687;-0,606103362;-0,004331906;+;0,169083607;0,116443959;0,043221651;-0,450158947;-0,00800518;0,001130181;0,168236656;NA;+;+;+;+;+;NA;NA;NA;-0,022866578;0,139119075;26;-14605,36615;29263,05941;528,8549335;3.90528369153454e-116
814591;-0,645816554;-0,004328007;+;0,168717076;0,116038939;0,042974971;-0,450489414;0,010543672;-0,000475103;0,16808102;NA;+;+;NA;+;+;NA;NA;NA;-0,022826617;0,139284383;24;-14607,78992;29263,8593;529,6548259;2.61793068713663e-116
814527;-0,623490581;-0,004331033;+;0,168843041;0,115866451;0,043209485;-0,450230301;NA;0,00043469;0,168252024;NA;+;+;NA;+;+;NA;NA;NA;-0,022786947;0,139180149;23;-14608,82262;29263,90228;529,6978051;2.56227263049831e-116
851455;-0,604865202;-0,004331967;+;0,168387799;0,116224554;0,04315076;-0,450744479;-0,008281265;0,001152585;0,167702018;NA;+;+;+;+;+;0,007691716;NA;NA;-0,022713808;0,139655602;27;-14604,80674;29263,96584;529,7613604;2.48212967681903e-116
693119;-0,880723669;-0,00460605;+;0,180872311;0,088254123;0,102378713;-0,500692774;0,004171011;NA;0,235293829;+;NA;NA;+;NA;NA;-0,054024134;NA;-0,022998088;NA;0,138032728;20;-14611,93295;29264,06134;529,8568606;2.36639304030776e-116
693247;-0,863411139;-0,004606895;+;0,181030026;0,088242436;0,102497384;-0,502461626;-0,004778971;0,000814067;0,234924976;+;NA;NA;+;NA;NA;-0,054008281;NA;-0,022997737;NA;0,138733241;21;-14611,13274;29264,48051;530,2760295;1.91895810339363e-116
916991;-0,604402058;-0,004324339;+;0,183375515;0,116709093;0,043061163;-0,450088753;-0,008276906;0,001153076;0,16696357;NA;+;+;+;+;+;0,01171879;-0,008884145;NA;-0,022958003;0,139922462;28;-14604,20505;29264,78866;530,58418;1.64494537514821e-116
847359;-0,646015695;-0,004328643;+;0,168066188;0,115847486;0,042878461;-0,450274234;0,010453362;-0,000468277;0,16823608;NA;+;+;NA;+;+;0,007512893;NA;NA;-0,02268664;0,139454553;25;-14607,25305;29264,80891;530,6044317;1.62837287905373e-116
847295;-0,624025825;-0,004330273;+;0,168160552;0,115667848;0,043048822;-0,450817701;NA;0,000434376;0,168252493;NA;+;+;NA;+;+;0,007624926;NA;NA;-0,022642312;0,139672323;24;-14608,27078;29264,82102;530,6165428;1.61854203883337e-116
884223;-0,605082842;-0,004330887;+;0,175295102;0,116690316;0,043283302;-0,45025469;-0,008037525;0,001133451;0,16744275;NA;+;+;+;+;+;NA;-0,00360039;NA;-0,022999287;0,139315255;27;-14605,2424;29264,83716;530,6326816;1.60553390883314e-116
880127;-0,645906964;-0,004327449;+;0,174906756;0,116272058;0,042964274;-0,450149055;0,010664653;-0,000484904;0,167894119;NA;+;+;NA;+;+;NA;-0,003575588;NA;-0,022954535;0,139298696;25;-14607,66849;29265,6398;531,4353183;1.07480366406863e-116
912895;-0,643506091;-0,004323978;+;0,182888059;0,11627591;0,042736576;-0,449527989;0,010663463;-0,000486242;0,166516311;NA;+;+;NA;+;+;0,011504472;-0,008773109;NA;-0,022903263;0,139742435;26;-14606,66957;29265,66625;531,4617733;1.06068032849549e-116
880063;-0,623139756;-0,004327099;+;0,174364929;0,116085511;0,043116081;-0,450557083;NA;0,000434989;0,167842186;NA;+;+;NA;+;+;NA;-0,003203491;NA;-0,022907972;0,13942115;24;-14608,72311;29265,72567;531,5211943;1.02963050428595e-116
912831;-0,620693714;-0,00432414;+;0,182335843;0,116124484;0,042935892;-0,449703851;NA;0,000434133;0,166473009;NA;+;+;NA;+;+;0,011428984;-0,00840018;NA;-0,022871683;0,139754373;25;-14607,7348;29265,77241;531,5679364;1.00584597927676e-116
692607;-0,888073432;-0,004532937;+;0,183705965;0,086599794;0,102442424;-0,501786904;0,004174755;NA;0,234546385;NA;NA;NA;+;NA;NA;-0,05517464;NA;-0,022682979;NA;0,138660463;18;-14614,90619;29265,97145;531,7669748;9.10564786775626e-117
758655;-0,881206817;-0,004606544;+;0,180228238;0,088250424;0,102525133;-0,502187592;0,00415806;NA;0,235215923;+;NA;NA;+;NA;NA;-0,054234483;0,000427454;-0,022995154;NA;0,138549017;21;-14611,92886;29266,07275;531,8682757;8.65592774672191e-117
701439;-0,844539051;-0,004607796;+;0,181449074;0,088396412;0,102418748;-0,501952598;-0,012451633;0,001514344;0,233595879;+;NA;NA;+;+;NA;-0,054105532;NA;-0,022992829;NA;0,138651338;23;-14609,9173;29266,09164;531,8871629;8.57456976864555e-117
692735;-0,869935527;-0,004535106;+;0,18384573;0,086580271;0,102469499;-0,50244792;-0,004931409;0,000828348;0,234540028;NA;NA;NA;+;NA;NA;-0,05516072;NA;-0,022682064;NA;0,138887618;19;-14614,08016;29266,33711;532,1326363;7.5841769872464e-117
758783;-0,864036538;-0,004609838;+;0,180223721;0,088246191;0,102482984;-0,50303355;-0,004827815;0,000816466;0,23537842;+;NA;NA;+;NA;NA;-0,054284817;0,00055959;-0,022997329;NA;0,138868877;22;-14611,12607;29266,4877;532,2832216;7.03411204036483e-117
985919;-0,775792471;-0,004733461;+;0,146696952;0,066570533;0,102648928;-0,507144366;NA;NA;0,200507394;+;NA;+;NA;NA;NA;NA;0,016186832;-0,037016012;0,010221365;0,142177297;20;-14613,40387;29267,00318;532,7986995;5.43594014018332e-117
700927;-0,853762496;-0,004536831;+;0,184231141;0,086776353;0,102426359;-0,502245905;-0,012259447;0,001496748;0,233886323;NA;NA;NA;+;+;NA;-0,05524156;NA;-0,02268365;NA;0,138865715;21;-14612,72642;29267,66787;533,4633879;3.8988758926446e-117
758143;-0,891495042;-0,004528705;+;0,18562343;0,086627794;0,102469644;-0,502113014;0,004180885;NA;0,235832776;NA;NA;NA;+;NA;NA;-0,054505598;-0,001320004;-0,022691869;NA;0,138653874;19;-14614,8643;29267,90539;533,7009086;3.4622821599655e-117
766975;-0,843478039;-0,004609048;+;0,180434387;0,088386318;0,102446252;-0,500973351;-0,01246167;0,001515666;0,233405755;+;NA;NA;+;+;NA;-0,05443049;0,000665608;-0,022989534;NA;0,138358193;24;-14609,9075;29268,09446;533,8899806;3.14996695240789e-117
758271;-0,871844236;-0,00453445;+;0,185580511;0,086594813;0,102465456;-0,502309328;-0,00493219;0,00082796;0,235498248;NA;NA;NA;+;NA;NA;-0,054545669;-0,001190605;-0,022684937;NA;0,138681997;20;-14614,04649;29268,28842;534,0839442;2.85882345708662e-117
766463;-0,855194332;-0,004537097;+;0,185710524;0,086797441;0,102394735;-0,502482603;-0,01225811;0,001496639;0,234654327;NA;NA;NA;+;+;NA;-0,054721829;-0,001018535;-0,022689783;NA;0,138832414;22;-14612,7011;29269,63776;535,4332797;1.45607198932278e-117
918847;-0,724688476;-0,004366691;+;0,1624083;0,067793075;0,050517354;-0,527481636;NA;NA;0,218284603;NA;+;NA;NA;NA;NA;NA;NA;-0,024856346;0,008771097;0,139107354;17;-14618,30019;29270,74268;536,5382006;8.38016011370961e-118
697343;-0,902288218;-0,004606843;+;0,180906697;0,087840824;0,102398473;-0,501379647;0,013111533;-0,00069712;0,23465066;+;NA;NA;NA;+;NA;-0,054143298;NA;-0,02292183;NA;0,138367615;21;-14614,40601;29271,02705;536,8225668;7.26947400815123e-118
969023;-0,799065901;-0,004444323;+;0,180947312;0,065983479;0,103423144;-0,503397719;NA;NA;0,195359392;NA;NA;+;NA;NA;+;-0,012131675;NA;-0,038956409;0,012484458;0,142291713;20;-14615,62821;29271,45186;537,247382;5.87835139608872e-118
936255;-0,79958457;-0,00444183;+;0,179719189;0,066119856;0,103120342;-0,502536444;NA;NA;0,19563733;NA;NA;+;NA;NA;+;NA;NA;-0,038532843;0,012365898;0,142515493;19;-14616,99879;29272,17436;537,9698856;4.09605599401627e-118
697279;-0,872904634;-0,004606322;+;0,181045986;0,087703755;0,102414439;-0,502659882;NA;0,000434386;0,234151136;+;NA;NA;NA;+;NA;-0,054066542;NA;-0,022889651;NA;0,138841118;20;-14616,0083;29272,21204;538,0075626;4.01961461497225e-118
696831;-0,909627813;-0,004531515;+;0,183706897;0,086286311;0,102372127;-0,50225003;0,012796319;-0,000671055;0,234406132;NA;NA;NA;NA;+;NA;-0,055274843;NA;-0,022628036;NA;0,138828352;19;-14617,16803;29272,51284;538,3083657;3.45832547353445e-118
1034559;-0,800622301;-0,004449194;+;0,171108572;0,065546451;0,103479846;-0,502282697;NA;NA;0,196732934;NA;NA;+;NA;NA;+;-0,014866378;0,005873629;-0,039076073;0,012746319;0,141482318;21;-14615,37311;29272,96126;538,7567775;2.76372273665036e-118
762879;-0,901134191;-0,004608135;+;0,17993503;0,087839973;0,102360183;-0,501171539;0,013104855;-0,000696779;0,234344016;+;NA;NA;NA;+;NA;-0,054461441;0,000638657;-0,022921367;NA;0,13832842;22;-14614,39649;29273,02855;538,8240753;2.67227370814223e-118
696767;-0,881422962;-0,004533898;+;0,183797627;0,086156847;0,102428745;-0,502477396;NA;0,000433171;0,234255256;NA;NA;NA;NA;+;NA;-0,055181253;NA;-0,022596367;NA;0,138899563;18;-14618,69684;29273,55276;539,3482769;2.05613683027961e-118
741759;-0,871731377;-0,004541264;+;0,130263616;0,090057315;0,101313705;-0,524746928;0,003938546;NA;0,228239941;NA;NA;NA;+;NA;+;NA;0,022281997;-0,024611465;NA;0,13857211;20;-14616,93197;29274,05937;539,8548965;1.59602968958073e-118
1001791;-0,798679868;-0,004440758;+;0,181340372;0,066206116;0,103108082;-0,50191532;NA;NA;0,195160758;NA;NA;+;NA;NA;+;NA;-0,000939652;-0,038519451;0,012314337;0,142396187;20;-14616,98999;29274,17542;539,9709459;1.50605614515982e-118
762815;-0,871807307;-0,004609323;+;0,179833233;0,087694209;0,102398193;-0,501469041;NA;0,000434392;0,233879534;+;NA;NA;NA;+;NA;-0,054455467;0,000796644;-0,022886527;NA;0,138456784;21;-14615,9935;29274,20203;539,9975498;1.48615530591017e-118
741887;-0,852891181;-0,004543303;+;0,129916732;0,090044299;0,101376376;-0,524918401;-0,005511682;0,000859655;0,228194997;NA;NA;NA;+;NA;+;NA;0,022575748;-0,024612352;NA;0,138660731;21;-14616,04313;29274,3013;540,0968184;1.41419169403793e-118
762367;-0,910435381;-0,004531749;+;0,185213199;0,08630689;0,102371311;-0,502278281;0,012850352;-0,000675666;0,234870774;NA;NA;NA;NA;+;NA;-0,054750802;-0,001035791;-0,022633896;NA;0,138748722;20;-14617,14206;29274,47956;540,2750769;1.29359981615556e-118
953151;-0,814301369;-0,004678932;+;0,173984557;0,069343539;0,10298391;-0,517063862;NA;NA;0,215675747;+;NA;+;NA;NA;NA;-0,013287517;NA;-0,036856994;0,008605062;0,142459186;20;-14617,2022;29274,59985;540,3953672;1.21808959527144e-118
742271;-0,849809642;-0,00469079;+;0,128571483;0,088834031;0,101130481;-0,524158869;0,003948138;NA;0,225652631;+;NA;NA;+;NA;+;NA;0,022070945;-0,024474042;NA;0,138294707;22;-14615,23185;29274,69927;540,494791;1.15901657324147e-118
742399;-0,827456724;-0,004689119;+;0,128287926;0,088834865;0,101296184;-0,524485542;-0,005204599;0,000831602;0,223464865;+;NA;NA;+;NA;+;NA;0,022357535;-0,02447249;NA;0,138787126;23;-14614,41843;29275,09391;540,8894338;9.51467668977081e-119
1018175;-0,809035915;-0,00445069;+;0,148591321;0,070683689;0,103557211;-0,505533815;NA;NA;0,200761608;NA;NA;+;NA;NA;NA;-0,020582987;0,018553576;-0,037602945;0,00984612;0,141641877;19;-14618,49;29275,15679;540,9523115;9.22019946881612e-119
762303;-0,882554345;-0,004532972;+;0,18503862;0,086173173;0,102419867;-0,502688499;NA;0,00043334;0,23478713;NA;NA;NA;NA;+;NA;-0,054743724;-0,000857514;-0,022600769;NA;0,138888598;19;-14618,67892;29275,53463;541,330156;7.6329501366734e-119
1003903;-0,872048774;-0,004537681;+;0,131941098;0,092112743;0,101309637;-0,526614621;0,00393012;NA;0,227979219;NA;NA;NA;+;NA;+;NA;0,021471072;-0,024377348;-0,001144438;0,139106055;21;-14616,74376;29275,70256;541,4980775;7.01824833290596e-119
920383;-0,816389596;-0,004673012;+;0,172641292;0,069412179;0,102659461;-0,517470764;NA;NA;0,216281398;+;NA;+;NA;NA;NA;NA;NA;-0,036429323;0,008548989;0,143195874;19;-14618,84084;29275,85846;541,653977;6.49195626850057e-119
1004031;-0,85303756;-0,004541392;+;0,131614643;0,09207047;0,101389908;-0,526361924;-0,005468529;0,000855661;0,227936344;NA;NA;NA;+;NA;+;NA;0,021746841;-0,02437828;-0,001130227;0,139041282;22;-14615,8593;29275,95416;541,7496811;6.18861868105025e-119
1004415;-0,84522015;-0,004687489;+;0,130496521;0,091182571;0,101183212;-0,523486843;0,00395853;NA;0,223411596;+;NA;NA;+;NA;+;NA;0,021114417;-0,024185852;-0,00135502;0,13813303;23;-14614,97528;29276,2076;542,0031251;5.45204006002502e-119
